COLONIA_ORIGINAL,COLONIA_NORMALIZADA
REAL DE TOLEDO RESIDENCIAL,REAL DE TOLEDO RESIDENCIAL
REAL DE VALLE,REAL DE VALLE
REAL DEL ALAMITO,REAL DEL ALAMITO
REAL DEL ARCO,REAL DEL ARCO
REAL DEL CARDO,REAL DEL CARDO
REAL DEL CARMEN,REAL DEL CARMEN
REAL DEL CARMEN RESID.,REAL DEL CARMEN RESID.
REAL DEL CARMEN RESIDENCIAL,REAL DEL CARMEN RESIDENCIAL
REAL DEL COBRE,REAL DEL COBRE
REAL DEL LLANO,REAL DEL LLANO
REAL DEL MONTEJO,REAL DE MONTEJO
REAL DEL SEBILLA,REAL DE SEVILLA
REAL DEL TOLEDO,REAL DE TOLEDO
REAL SE SEVILLA,REAL DE SEVILLA
RED 2000,RED 2000
REFORMA,REFORMA
RENACIMIENTO,RENACIMIENTO
RESEIDENCIAL PENASCO,RESIDENCIAL PEÑASCO
RESIDENCIAL ALONDRA,RESIDENCIAL ALONDRA
RESIDENCIAL ALTACALIFORNIA,RESIDENCIAL ALTACALIFORNIA
RESIDENCIAL CAPISTRANO,RESIDENCIAL CAPISTRANO
RESIDENCIAL CONDOMINAL,RESIDENCIAL CONDOMINAL
RESIDENCIAL CORDOBA,RESIDENCIAL CORDOBA
RESIDENCIAL DE ANZA,RESIDENCIAL DE ANZA
RESIDENCIAL DE LOS ALTOS,RESIDENCIAL DE LOS ALTOS
RESIDENCIAL DE TOLEDO,RESIDENCIAL TOLEDO
RESIDENCIAL DEL CID,RESIDENCIAL DEL CID
RESIDENCIAL DEL MONTE,RESIDENCIAL DEL MONTE
RESIDENCIAL ESMERALDA,RESIDENCIAL ESMERALDA
RESIDENCIAL ESTANZA,RESIDENCIAL ESTANZA
RESIDENCIAL FIRENCE,RESIDENCIAL FIRENCE
RESIDENCIAL FRESNOS,RESIDENCIAL FRESNOS
RESIDENCIAL GALA,RESIDENCIAL GALA
RESIDENCIAL HACIENDAS,RESIDENCIAL HACIENDAS
RESIDENCIAL KINO,RESIDENCIAL KINO
RESIDENCIAL LA CAÑADA,RESIDENCIAL LA CAÑADA
RESIDENCIAL LA ENCANTADA,RESIDENCIAL LA CAÑADA
RESIDENCIAL LA HACIENDA,RESIDENCIAL HACIENDAS
RESIDENCIAL LOS SANTOS,RESIDENCIAL LOS SANTOS
RESIDENCIAL MESA VERDE,RESIDENCIAL MESA VERDE
RESIDENCIAL NAVARRETE,RESIDENCIAL NAVARRETE
RESIDENCIAL PEÑASCO,RESIDENCIAL PEÑASCO
RESIDENCIAL PIMA,RESIDENCIAL PIMA
RESIDENCIAL RANCHO SAN IGNACIO,RESIDENCIAL RANCHO SAN IGNACIO
RESIDENCIAL REAL DE TOLEDO,RESIDENCIAL REAL DE TOLEDO
RESIDENCIAL RIOJA NORTE,RESIDENCIAL RIOJA NORTE
RESIDENCIAL SANTERRA,RESIDENCIAL SANTERRA
RESIDENCIAL SEVILLA,RESIDENCIAL SEVILLA
RESIDENCIAL TERRAZAS DEL MIRADOR,RESIDENCIAL TERRAZAS DEL MIRADOR
RESIDENCIAL TOLEDO,RESIDENCIAL TOLEDO
RESIDENCIAL VENTURA,RESIDENCIAL VENTURA
RESIDENCIAL VERONA,RESIDENCIAL VERONA
RESIDENCIAL VILLA BONITA,RESIDENCIAL VILLA BONITA
RESIDENCILA VENTURA,RESIDENCIAL VENTURA
RESIDENCIOAL CORSICA,RESIDENCIOAL CORSICA
RESIENCIAL VILLA CONCORDIA,RESIENCIAL VILLA CONCORDIA
RETORNO EL DORADO PRIMERA SECC.,RETORNO EL DORADO PRIMERA SECC.
REVOLUCION 1,REVOLUCION 1
REVOLUCION 2,REVOLUCION 2
REVOLUCIÓN I,REVOLUCIÓN I
REVOLUCIÓN II,REVOLUCIÓN II
RINCON AGRADABLE,RINCON AGRADABLE
RINCON DE MARQUEZ,RINCÓN DEL MARQUEZ
RINCONADA DE LA CRUZ,RINCONADA DE LA CRUZ
RINCONADA NUEVO LEON,RINCONADA NUEVO LEON
RINCÓN DE LA HERRADURA,RINCÓN DE LA HERRADURA
RINCÓN DE PALMAS,RINCÓN DE PALMAS
RINCÓN DEL MARQUEZ,RINCÓN DEL MARQUEZ
RIO BONITO,RIO BONITO
RIO DE PLATA,RIO DE PLATA
RIO GRANDE,RIO GRANDE
RIO SECO,RIO SECO
RIO SONORA,RIO SONORA
RIOJA NORTE RESIDENCIAL,RIOJA NORTE RESIDENCIAL
RIOJAS RESIDENCIAL,RIOJAS RESIDENCIAL
RIVELLO RESIDENCIAL,RIVELLO RESIDENCIAL
ROMANZA RESIDENCIAL,ROMANZA RESIDENCIAL
ROSALES,ROSALES
ROSARIO I. DE PIEDRA,ROSARIO I. DE PIEDRA
RURAL,RURAL
SA JOSE DE LAS MINITAS,SAN JOSE DE LAS MINITAS
SABINOS,SABINOS
SABINOSBRITANIA,SABINOSBRITANIA
SACRAMENTO RESIDENCIAL,SACRAMENTO RESIDENCIAL
SAHUARIA INDECO,SAHUARIA INDECO
SAHUARO,SAHUARO
SAHUARO FINAL,SAHUARO FINAL
SAHUARO INDECO,SAHUARO INDECO
SALVADOR ALVARADO\MIGUEL ALEMAN (LA DOCE),SALVADOR ALVARADO\MIGUEL ALEMAN (LA DOCE)
SALVATIERRA RESIDENCIAL,SALVATIERRA RESIDENCIAL
SAN ANDRÉS RESIDENCIAL,SAN ANDRÉS RESIDENCIAL
SAN ANGEL,SAN ANGEL
SAN ANITA RESIDENCIAL,SAN ANITA RESIDENCIAL
SAN ANTONIO,SAN ANTONIO
SAN BENITO,SAN BENITO
SAN BERNARDINO,SAN BERNARDINO
SAN BOSCO,SAN BOSCO
SAN DIEGO,SAN DIEGO
SAN FRANCISCO,SAN FRANCISCO
SAN FRANCISCO RESIDENCIAL,SAN FRANCISCO RESIDENCIAL
SAN GERMAN,SAN GERMAN
SAN ISIDRO,SAN ISIDRO
SAN ISIDRO/ EL TRIUNFITO,SAN ISIDRO/ EL TRIUNFITO
SAN ISISDRO,SAN ISIDRO
SAN JAVIER,SAN JAVIER
SAN JERONIMO,SAN JERONIMO
SAN JOSE DE LAS MINITAS,SAN JOSE DE LAS MINITAS
SAN JOSE DE MORADILLAS,SAN JOSE DE MORADILLAS
SAN JUAN,SAN JUAN
SAN JUDAS TADEO,SAN JUDAS TADEO
SAN LORENZO,SAN LORENZO
SAN LUIS,SAN LUIS
SAN LUIS NORTE,SAN LUIS NORTE
SAN LUIS REY,SAN LUIS REY
SAN MARCOS,SAN MARCOS
SAN MARCOS II,SAN MARCOS II
SAN MARCOS RESIDENCIAL,SAN MARCOS RESIDENCIAL
SAN MASRCOS,SAN MARCOS
SAN PABLO,SAN PABLO
SAN PEDRO,SAN PEDRO
SAN PEDRO EL SAUCITO,SAN PEDRO EL SAUCITO
SAN SEBASTIÁN,SAN SEBASTIÁN
SANMARCOS,SANMARCOS
SANTA ANITA,SANTA ANITA
SANTA BARBARA,SANTA BÁRBARA
SANTA BÁRBARA,SANTA BÁRBARA
SANTA CECILIA,SANTA CECILIA
SANTA CLARA,SANTA CLARA
SANTA FE,SANTA FE
SANTA ISABEL,SANTA ISABEL
SANTA LUCIA,SANTA LUCIA
SANTA LUCIA III ETAPA,SANTA LUCIA III ETAPA
SANTA LUCIA RESIDENCIAL,SANTA LUCIA RESIDENCIAL
SANTA MARIA,SANTA MARIA
SANTA MARTHA,SANTA MARTHA
SANTA MONICA,SANTA MONICA
SANTE FE,SANTE FE
SANTERRA RESIDENCIAL,CANTERAS RESIDENCIAL
SANTO NIÑO,SANTO NIÑO
SARATOGA,SARATOGA
SARATOGA RESIDENCIAL,SARATOGA RESIDENCIAL
SECC ALAMOS,SECC ALAMOS
SECCION CORDOVA RESIDENCIAL,SECCION CORDOVA RESIDENCIAL
SECCION LAS PLACITAS,SECCION LAS PLACITAS
SECCION LOS ALAMOS,SECCION LOS ALAMOS
SECCION PLACITAS,SECCION PLACITAS
SECCION SANTA MONICA,SECCION SANTA MONICA
SECTOR A\MIGUEL ALEMAN (LA DOCE),SECTOR A\MIGUEL ALEMAN (LA DOCE)
SECTOR B\MIGUEL ALEMAN (LA DOCE),SECTOR B\MIGUEL ALEMAN (LA DOCE)
SECTOR CTEL FFCC,SECTOR CTEL FFCC
SECTOR C\MIGUEL ALEMAN (LA DOCE),SECTOR C\MIGUEL ALEMAN (LA DOCE)
SECTOR D\MIGUEL ALEMAN (LA DOCE),SECTOR D\MIGUEL ALEMAN (LA DOCE)
SEDONA RESIDENCIAL,SEDONA RESIDENCIAL
SEMINARIO,SEMINARIO
SEMINARIO RDCIAL,SEMINARIO RDCIAL
SIENNA RESIDENCIAL,SIENNA RESIDENCIAL
SIERRA ALTA,SIERRA ALTA
SIERRA BONITA,SIERRA BONITA
SIERRA CLARA,SIERRA CLARA
SIERRA COLORADA,TIERRA COLORADA
SIERRA VISTA,SIERRA VISTA
SIN CLASIFICAR,SIN CLASIFICAR
SIN NOMBRE,SIN NOMBRE
SOILIDARIDAD,SOILIDARIDAD
SOL AGUILAR,SOL AGUILAR
SOL AGUILAR (EL TRIUNFO),SOL AGUILAR (EL TRIUNFO)
SOLARE,SOLARE
SOLEIL RESIDENCIAL,SOLEIL RESIDENCIAL
SOLEIL RESIDENCIAL ETAPA 3,SOLEIL RESIDENCIAL ETAPA 3
SOLEIL RESIDENCIAL ETAPA 4,SOLEIL RESIDENCIAL ETAPA 4
SOLIDARIDAD,SOLIDARIDAD
SOLIDARIDAD IV ETAPA,SOLIDARIDAD IV ETAPA
SOLIDARIDAD V,SOLIDARIDAD V
SOLIDARIDAD V ETAPA,SOLIDARIDAD IV ETAPA
SONACER,SONACER
SONOMEX,SONOMEX
STANZA,STANZA
STANZA RESIDENCIAL,STANZA RESIDENCIAL
STANZA SOLARE,STANZA SOLARE
STAUS,STAUS
SUBASTA,SUBASTA
TELEFONISTA,TELEFONISTA
TEPITO,TEPITO
TERRABLANCA,TERRABLANCA
TERRANOVA,TERRANOVA
TERRENO TELEFONISTAS,TERRENO TELEFONISTAS
TERRENOS CAMPESTRES NUEVO AMANECER,TERRENOS CAMPESTRES NUEVO AMANECER
TIERRA BONITA,SIERRA BONITA
TIERRA COLORADA,TIERRA COLORADA
TIERRA NUEVA,TIERRA NUEVA
TIERRA NUEVA QUINTA ETAPA,TIERRA NUEVA QUINTA ETAPA
TIRO AL BLANCO,TIRO AL BLANCO
TIROCAPES,TIROCAPES
TOPACIO RESIDENCIAL,TOPACIO RESIDENCIAL
TOPAHUE,TOPAHUE
TORRALBA,TORRALBA
TORRE PLATA,TORRE PLATA
TORREPLATA,TORREPLATA
TOSALI,TOSALI
TRES REYES,TRES REYES
TRES REYNAS INVASION,TRES REYNAS INVASION
TRINIDAD SANCHEZ LEYVA,TRINIDAD SANCHEZ LEYVA
TRONCONAL,TRONCONAL
TUBAC,TUBAC
TUMACACORI,TUMACACORI
UNA COLONIA AL SUR DE VISTA REAL,UNA COLONIA AL SUR DE VISTA REAL
UNION DE LADRILLEROS,UNIÓN DE LADRILLEROS
UNIVERSIDAD DE SONORA,UNIVERSIDAD DE SONORA
UNIÓN DE COLONOS,UNIÓN DE COLONOS
UNIÓN DE LADRILLEROS,UNIÓN DE LADRILLEROS
UNUIN DE LADRILLEROS,UNIÓN DE LADRILLEROS
URBI ALAMEDA LOS ENCINOS RESIDENCIAL I,URBI ALAMEDA LOS ENCINOS RESIDENCIAL I
URBI ALAMEDA LOS ENCINOS RESIDENCIAL II,URBI ALAMEDA LOS ENCINOS RESIDENCIAL II
URBI ALAMEDA SECCION LOS FRESNO,URBI ALAMEDA SECCION LOS FRESNO
URBI DE ALAMEDA LOS FRENOS,URBI DE ALAMEDA LOS FRENOS
URBI VILLA,URBI VILLA
URBI VILLA ALAMEDA FRESNOS,URBI VILLA ALAMEDA FRESNOS
URBI VILLA CAMPESTRE,URBI VILLA CAMPESTRE
URBI VILLA DE LOS FRESNOS,URBI VILLA DE LOS FRESNOS
URBI VILLA DEL CEDRO,URBI VILLA DEL CEDRO
URBI VILLA DEL CEDRO SECCION 2,URBI VILLA DEL CEDRO SECCION 2
URBI VILLA DEL PRADO,URBI VILLA DEL PRADO
URBI VILLA DEL REY,URBI VILLA DEL REY
URBI VILLA DEL REY II,URBI VILLA DEL REY II
URBI VILLA DEL REY III SECCION ENCINOS 1,URBI VILLA DEL REY III SECCION ENCINOS 1
URBI VILLA DEL REY III SECCION LOS ENCINOS ETAPA I,URBI VILLA DEL REY III SECCION LOS ENCINOS ETAPA I
URBI VILLA FRESNOS RESIDENCIAL,URBI VILLA FRESNOS RESIDENCIAL
URBI VILLA SECCION FRESNOS,URBI VILLA SECCION FRESNOS
VADO DEL RIO,VADO DEL RIO
VALLADOLID,VALLADOLID
VALLE BONITO,VALLE BONITO
VALLE DE AGUALURCA,VALLE DE AGUALURCA
VALLE DE ARANDAS,VALLE DE ARANDAS
VALLE DE ARANDAS RESIDENCIAL,VALLE DE ARANDAS RESIDENCIAL
VALLE DE JEREZ,VALLE DE JEREZ
VALLE DE LAGO,VALLES DEL LAGO
VALLE DE LOS ALMENDROS,VALLE DE LOS ALMENDROS
VALLE DE MARQUEZ,VALLE DE MARQUEZ
VALLE DE SANTA MONICA,VALLE SANTA MÓNICA
VALLE DEL PORTAL,VALLE DEL PORTAL
VALLE DEL QIROGA,VALLE DEL QUIROGA
VALLE DEL QUIROGA,VALLE DEL QUIROGA
VALLE DEL SOL,VALLE DEL SOL
VALLE DLE MARQUEZ,VALLE DE MARQUEZ
VALLE DORADO,VALLE DORADO
VALLE ESCONDIDO,VALLE ESCONDIDO
VALLE GRANDE,VALLE GRANDE
VALLE HERMOSO,VALLE HERMOSO
VALLE SANTA MONICA,VALLE SANTA MÓNICA
VALLE SANTA MÓNICA,VALLE SANTA MÓNICA
VALLE VERDE,VALLE VERDE
VALLES DEL LAGO,VALLES DEL LAGO
VALLES DEL LAGO SECC ATARDECER,VALLES DEL LAGO SECC ATARDECER
VALLES DEL LAGO SECC. AMANECERES,VALLES DEL LAGO SECC. AMANECERES
VALLES DEL LAGO SECC. ATARDECER,VALLES DEL LAGO SECC ATARDECER
VENDIMIAS,VENDIMIAS
VERBENA,VERBENA
VEREDAS,VEREDAS
VERONA,VERONA
VERONA RESIDENCIAL,VERONA RESIDENCIAL
VERONICA ANZURES,VERONICA ANZURES
VERSALLES,VERSALLES
VERSALLES RESIDENCIAL,VERSALLES RESIDENCIAL
VICTORIA,VICTORIA
VILLA BONITA,VILLA BONITA
VILLA CALIFORNIA,VILLA CALIFORNIA
VILLA CALIFORNIA SECC. CORDOVA,VILLA CALIFORNIA SECC. CORDOVA
VILLA COLONIA,VILLA COLONIAL
VILLA COLONIAL,VILLA COLONIAL
VILLA CORSO,VILLA CORSO
VILLA CORTEZ,VILLA CORTEZ
VILLA DE ALCALA,VILLA DE ALCALA
VILLA DE ARANDAS,VILLA DE ARANDAS
VILLA DE CEDROS,VILLA DE CEDROS
VILLA DE CORCELES,VILLA DE CORCELES
VILLA DE LOS CORCELES,VILLA DE LOS CORCELES
VILLA DE LOS CORCELES SECC. ARDENES,VILLA DE LOS CORCELES SECC. ARDENES
VILLA DE LOS CORCELES SECC. BRAVANTE,VILLA DE LOS CORCELES SECC. BRAVANTE
VILLA DE LOS SAUCES,VILLA DE LOS SAUCES
VILLA DE PARRAS,VILLA DE PARRAS
VILLA DE REAL,VILLA DEL REAL
VILLA DE ROMANZA RESIDENCIAL,VILLA ROMANZA RESIDENCIAL
VILLA DE SAN LORENZO,VILLA DE SAN LORENZO
VILLA DE SANTA MONICA,VILLA DE SANTA MONICA
VILLA DE SERIS,VILLA DE SERIS
VILLA DE SERIS NORTE,VILLA DE SERIS NORTE
VILLA DE SERIS SUR,VILLA DE SERIS SUR
VILLA DEL COLORADO,VILLA DEL COLORADO
VILLA DEL CORTES,VILLAS DEL CORTES
VILLA DEL CORTIJO,VILLAS DEL CORTIJO
VILLA DEL LAGO,VILLA DEL LAGO
VILLA DEL PITIC,VILLA DEL PITIC
VILLA DEL PRADO,VILLA DEL PRADO
VILLA DEL REAL,VILLA DEL REAL
VILLA DEL REY,VILLA DEL REY
VILLA DEL REY SECCION CASTAÑOS,VILLA DEL REY SECCION CASTAÑOS
VILLA DEL SERI,VILLA DE SERIS
VILLA DEL SERI NORTE,VILLA DE SERIS NORTE
VILLA DEL SOL,VILLA DEL SOL
VILLA DEL SUR,VILLA DEL SUR
VILLA DORADA,VILLA DORADA
VILLA FLORENCIA,VILLA FLORENCIA
VILLA FONTANA,VILLA FONTANA
VILLA FRESNOS,VILLA FRESNOS
VILLA GUADALUPE,VILLA GUADALUPE
VILLA HERMOSA,VILLA HERMOSA
VILLA HIDALGO,VILLA HIDALGO
VILLA LOURDES,VILLA LOURDES
VILLA MERCEDES,VILLA MERCEDES
VILLA MERLOT RESIDENCIAL,VILLA MERLOT RESIDENCIAL
VILLA REAL,VILLA REAL
VILLA RESIDENCIAL,VILLA RESIDENCIAL
VILLA RESIDENCIAL BONITA ETAPA I AL XII,VILLA RESIDENCIAL BONITA ETAPA I AL XII
"VILLA RESIDENCIAL BONITA IX,X,XI Y XII","VILLA RESIDENCIAL BONITA IX,X,XI Y XII"
VILLA RESIDENCIAL MILAN,VILLA RESIDENCIAL MILAN
VILLA RESIDENCIAL VILLA BONITA,VILLA RESIDENCIAL VILLA BONITA
VILLA ROMANZA RESIDENCIAL,VILLA ROMANZA RESIDENCIAL
VILLA SAN LORENZO,VILLA DE SAN LORENZO
VILLA SATÉLITE,VILLA SATÉLITE
VILLA SAUCES,VILLA SAUCES
VILLA SOL,VILLA SOL
VILLA SONORA,VILLA SONORA
VILLA SURENA,VILLA SUREÑA
VILLA SUREÑA,VILLA SUREÑA
VILLA TOLEDO,VILLA TOLEDO
VILLA TOSCANA,VILLA TOSCANA
VILLA VERDE,VILLA VERDE
VILLA VERDE 4 ETAPA,VILLA VERDE 5TA ETAPA
VILLA VERDE 5TA ETAPA,VILLA VERDE 5TA ETAPA
VILLA VERDE IV ETAPA,VILLA VERDE 5TA ETAPA
VILLAS DE COLORADA,VILLAS DE COLORADA
VILLAS DE CORTES,VILLAS DEL CORTES
VILLAS DE CORTEZ,VILLAS DE CORTEZ
VILLAS DE PALMAR,VILLAS DEL PALMAR
VILLAS DE PARRAS,VILLA DE PARRAS
VILLAS DE SAN LORENZO,VILLAS DE SAN LORENZO
VILLAS DE TURIN,VILLAS DE TURIN
VILLAS DEL CENTENARIO,VILLAS DEL CENTENARIO
VILLAS DEL CERRO COLORADO,VILLAS DEL CERRO COLORADO
VILLAS DEL CORTES,VILLAS DEL CORTES
VILLAS DEL CORTIJO,VILLAS DEL CORTIJO
"VILLAS DEL MEDITERRÁNEO ETAPA II, III","VILLAS DEL MEDITERRÁNEO ETAPA II, III"
VILLAS DEL PALMAR,VILLAS DEL PALMAR
VILLAS DEL PITIC,VILLA DEL PITIC
VILLAS DEL PRADO,VILLA DEL PRADO
VILLAS DEL SAN LORENZO,VILLAS DE SAN LORENZO
VILLAS DEL SERI,VILLAS DEL SERI
VILLAS DEL SUR CERRADA VILLLA GUADALUPE,VILLAS DEL SUR CERRADA VILLLA GUADALUPE
VILLASUREÑA,VILLASUREÑA
VIRREYES,VIRREYES
VISTA BELLA,VISTA BELLA
VISTA DEL LAGO,VISTA DEL LAGO
VISTA DEL SOL,VISTA DEL SOL
VISTA HERMOSA,VISTA HERMOSA
VISTA REAL,VISTA REAL
VISTAS,VISTAS
VIÑEDOS,VIÑEDOS
VOLLAS DE ROMANZA,VOLLAS DE ROMANZA
Y GRIEGA,Y GRIEGA
YANITO,YANITO
ZASAFRAS RESIDENCIAL,ZASAFRAS RESIDENCIAL
ZONA INDUSTRIAL,ZONA INDUSTRIAL
ZONA MILITAR CUARTEL XV,ZONA MILITAR CUARTEL XV
ÁLVARO OBREGÓN,ÁLVARO OBREGÓN
